Code,Name,Population,Households,Area,Male,Female,Black,Coloured,Indian or Asian,White,Other race,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Sign language,SiSwati,Tshivenda,Xitsonga,Other language,Language not applicable
576003,Embidlini,429,80,3.0489297022,158,272,428,0,0,1,0,1,6,4,0,412,2,0,2,1,0,1,0,0,0
576004,Woza,954,161,13.8947064721,453,501,941,0,0,13,0,2,11,36,2,878,2,1,0,21,0,0,0,0,0
576005,Mahlaba,1802,320,40.557938342,775,1027,1796,1,4,1,0,7,14,33,2,1700,13,3,5,23,0,2,0,0,0
576006,Mazabeko,1748,327,37.3366047292,782,966,1744,1,0,0,2,2,8,30,0,1697,2,0,4,2,0,1,0,0,0
576007,Emthaleni,3185,596,25.11625268,1414,1771,3181,3,1,0,0,28,44,58,5,2951,9,2,62,6,0,0,0,0,21
576008,Makhasana,1807,376,19.9831833222,794,1013,1799,3,0,4,1,7,46,23,1,1703,6,2,9,7,0,1,0,1,0
576009,Pomeroy,1621,346,5.9721289398,803,818,1483,38,69,7,24,6,100,14,1,1292,3,0,4,2,1,0,0,17,180
576010,Nhlanhleni,4225,841,26.7267170432,1915,2310,4196,9,9,7,3,7,87,88,3,3983,9,4,28,5,0,1,1,9,0
576011,Zenzele,2771,501,43.8407978334,1277,1494,2765,0,0,0,6,8,45,46,16,2637,5,0,5,8,0,0,0,1,0
576012,Dumbe,817,155,29.9152398443,352,465,817,0,0,0,0,0,14,5,1,786,6,1,3,1,0,0,0,0,0
576013,Mkhuzeni,2122,349,22.8459476137,1002,1120,2109,0,8,2,2,5,5,38,5,2030,6,1,21,13,0,0,0,0,0
576014,Kliprivier,772,136,5.3690955328,335,437,770,1,0,0,0,0,5,8,0,746,2,0,10,0,0,0,0,0,0
576015,Esifuleni,725,124,23.9208136397,311,414,725,0,0,0,0,1,3,6,0,712,2,0,0,1,0,0,0,0,0
576016,Mbindolo,3444,639,27.9930885685,1534,1910,3429,6,7,2,0,8,40,59,5,3306,4,3,7,8,1,2,0,1,0
576017,Gxushaneni,1082,216,12.2287321552,463,620,1080,0,2,0,0,8,24,31,8,967,20,0,18,2,2,1,0,1,0
576018,Mngeni,1408,302,44.4204655036,585,824,1408,0,0,0,0,1,5,15,1,1376,7,0,2,1,0,0,0,0,0
576019,Gqohi,2838,572,37.4593272191,1225,1613,2812,5,19,2,0,19,26,42,4,2722,2,3,11,7,1,1,1,0,0
